date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:07:31	345466/345466	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Apr%202020%2008:32:07%20GMT	https://himsiunair.com/image/foto_bidang/KEILMUAN.jpeg	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/image/foto_bidang/KEILMUAN.jpg	(from https://himsiunair.com/)
16:07:33	168442/168442	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/js/materialize.min.js	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/js/materialize.min.js	(from https://himsiunair.com/)
16:07:42	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/font-awesome/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://himsiunair.com/font-awesome/css/font-awesome.min.css)
16:07:43	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://himsiunair.com/font-awesome/css/font-awesome.min.css)
16:07:47	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://himsiunair.com/font-awesome/css/font-awesome.min.css)
16:07:59	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://himsiunair.com/font-awesome/css/font-awesome.min.css)
16:08:04	165548/165548	---M--	200	added ('OK')	font/ttf	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://himsiunair.com/font-awesome/css/font-awesome.min.css)
16:08:09	143258/143258	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/material-icons/MaterialIcons-Regular.eot	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/material-icons/MaterialIcons-Regular.eot	(from https://himsiunair.com/material-icons/material-icons.css)
16:08:11	42304/42304	---M--	200	added ('OK')	font/woff2	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/material-icons/MaterialIcons-Regular.woff2	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/material-icons/MaterialIcons-Regular.woff2	(from https://himsiunair.com/material-icons/material-icons.css)
16:08:15	78776/78776	---M--	200	added ('OK')	font/woff	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/material-icons/MaterialIcons-Regular.woff	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/material-icons/MaterialIcons-Regular.woff	(from https://himsiunair.com/material-icons/material-icons.css)
16:08:18	2890/2890	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Jun%202020%2010:32:33%20GMT	https://himsiunair.com/css/home.css	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/css/home.css	(from https://himsiunair.com/beranda)
16:08:19	2177/2177	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Jun%202020%2010:32:33%20GMT	https://himsiunair.com/css/timeline.css	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/css/timeline.css	(from https://himsiunair.com/beranda)
16:08:24	128180/128180	---M--	200	added ('OK')	font/ttf	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/material-icons/MaterialIcons-Regular.ttf	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/material-icons/MaterialIcons-Regular.ttf	(from https://himsiunair.com/material-icons/material-icons.css)
16:08:32	11067/11067	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:08:28%20GMT	https://himsiunair.com/berita/36/details	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/berita/36/details.html	(from https://himsiunair.com/beranda)
16:08:48	290208/290208	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Nov%202019%2010:49:49%20GMT	https://himsiunair.com/uploads/carousel/mukernas.JPG	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/uploads/carousel/mukernas.jpg	(from https://himsiunair.com/beranda)
16:08:58	325527/325527	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Sep%202019%2019:59:54%20GMT	https://himsiunair.com/uploads/carousel/foto_kabinet.jpg	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/uploads/carousel/foto_kabinet.jpg	(from https://himsiunair.com/beranda)
16:09:02	1482/1482	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Sep%202020%2009:09:03%20GMT	https://himsiunair.com/uploads/news/9c38789885b0c878ae6947f92ecb507c.jpeg	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/uploads/news/9c38789885b0c878ae6947f92ecb507c.2e.delayed	(from https://himsiunair.com/beranda)
16:09:05	9386/9386	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:03%20GMT	https://himsiunair.com/berita/33/details	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/berita/33/details.html	(from https://himsiunair.com/beranda)
16:09:06	1482/1482	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Sep%202020%2009:09:06%20GMT	https://himsiunair.com/uploads/news/aff1b74fb59fb5148bcbe957ef229066.jpeg	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/uploads/news/aff1b74fb59fb5148bcbe957ef229066.30.delayed	(from https://himsiunair.com/beranda)
16:09:06	11105/11105	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:07%20GMT	https://himsiunair.com/berita/32/details	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/berita/32/details.html	(from https://himsiunair.com/beranda)
16:09:07	1482/1482	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Sep%202020%2009:09:07%20GMT	https://himsiunair.com/uploads/news/709dfbbce9ce01e4b67893e9b86e8054.jpeg	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/uploads/news/709dfbbce9ce01e4b67893e9b86e8054.jpeg	(from https://himsiunair.com/beranda)
16:09:08	10692/10692	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:08%20GMT	https://himsiunair.com/beranda?page=1	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/beranda2679.html	(from https://himsiunair.com/beranda)
16:09:09	10688/10688	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:09%20GMT	https://himsiunair.com/beranda?page=2	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/beranda4658.html	(from https://himsiunair.com/beranda)
16:09:10	10622/10622	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:10%20GMT	https://himsiunair.com/beranda?page=3	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/beranda9ba9.html	(from https://himsiunair.com/beranda)
16:09:11	10632/10632	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:11%20GMT	https://himsiunair.com/beranda?page=4	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/berandafdb0.html	(from https://himsiunair.com/beranda)
16:09:12	10651/10651	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:12%20GMT	https://himsiunair.com/beranda?page=5	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/berandaaf4d.html	(from https://himsiunair.com/beranda)
16:09:13	10481/10481	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:13%20GMT	https://himsiunair.com/beranda?page=6	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/berandac575.html	(from https://himsiunair.com/beranda)
16:09:14	9229/9229	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:14%20GMT	https://himsiunair.com/beranda?page=7	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/beranda235c.html	(from https://himsiunair.com/beranda)
16:09:14	653/653	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2029%20Jun%202020%2010:32:34%20GMT	https://himsiunair.com/js/timeline.js	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/js/timeline.js	(from https://himsiunair.com/beranda)
16:09:14	1482/1482	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Sep%202020%2009:09:15%20GMT	https://himsiunair.com/current_url	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/current_url	(from https://himsiunair.com/beranda)
16:09:15	608/608	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Jun%202020%2010:32:33%20GMT	https://himsiunair.com/css/user/alumni.css	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/css/user/alumni.css	(from https://himsiunair.com/alumni)
16:09:15	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	C:/My%20Web%20Sites/Abdinesia%201/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	(from https://himsiunair.com/alumni)
16:09:16	37045/37045	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/My%20Web%20Sites/Abdinesia%201/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from https://himsiunair.com/alumni)
16:09:19	10130/10130	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:18%20GMT	https://himsiunair.com/alumni?page=2	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/alumni4658.html	(from https://himsiunair.com/alumni)
16:09:23	10238/10238	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:22%20GMT	https://himsiunair.com/alumni?page=3	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/alumni9ba9.html	(from https://himsiunair.com/alumni)
16:09:28	7851/7851	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2009:09:24%20GMT	https://himsiunair.com/alumni?page=4	C:/My%20Web%20Sites/Abdinesia%201/himsiunair.com/alumnifdb0.html	(from https://himsiunair.com/alumni)
